Country,Region,Sales Person,Date of Purchase,Total,Quantity
India,North,John,1/23/2016 0:00:00,100000,567
US,North,Bill,9/25/2018 0:00:00,120000,3000
UK,North,Thomas,11/20/2018 0:00:00,140000,345
Australia,East,John,11/4/2014 0:00:00,160000,1000
Africa,East,Bill,6/26/2010 0:00:00,180000,123
Singapore,East,Thomas,9/27/2014 0:00:00,200000,1000
Mylasia,West,John,11/13/2010 0:00:00,1000000,7890
India,West,Bill,12/10/2016 0:00:00,240000,200
US,West,Thomas,6/7/2016 0:00:00,26000000,1000
UK,North,John,1/24/2010 0:00:00,100000,1000
Australia,North,Bill,2/25/2018 0:00:00,120000,567
Africa,North,Thomas,10/7/2017 0:00:00,140000,1000
Singapore,East,John,10/25/2015 0:00:00,160000,892
Mylasia,East,Bill,1/28/2014 0:00:00,180000,444
India,East,Thomas,8/1/2011 0:00:00,200000,90
US,West,John,3/8/2013 0:00:00,220000,90
UK,West,Bill,3/5/2017 0:00:00,240000,90
Australia,West,Thomas,3/23/2010 0:00:00,260000,90
Africa,North,John,3/13/2012 0:00:00,140000,85
Singapore,North,Bill,2/21/2012 0:00:00,150000,85
